airport_id,name,city,country,iata,icao,latitude,longitude,altitude,timezone,dst,timezone_name
1,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,EHAM,52.308601,4.76389,-11,1,E,Europe/Amsterdam
2,Budel Airfield Kempen,Weert,Netherlands,,EHBD,51.255299,5.60139,114,1,E,Europe/Amsterdam
3,Maastricht Aachen Airport,Maastricht,Netherlands,MST,EHBK,50.911701,5.77014,375,1,E,Europe/Amsterdam
4,Deelen Air Base,Deelen,Netherlands,,EHDL,52.0606,5.87306,158,1,E,Europe/Amsterdam
5,Drachten Airport,Drachten,Netherlands,,EHDR,53.1192016602,6.12972021103,14,1,E,Europe/Amsterdam
6,Eindhoven Airport,Eindhoven,Netherlands,EIN,EHEH,51.4500999451,5.37452983856,74,1,E,Europe/Amsterdam
7,Eelde Airport,Groningen,Netherlands,GRQ,EHGG,53.1197013855,6.57944011688,17,1,E,Europe/Amsterdam
8,Gilze Rijen Air Base,Gilze-rijen,Netherlands,GLZ,EHGR,51.5674018859863,4.93182992935181,49,1,E,Europe/Amsterdam
9,De Kooy Airport,De Kooy,Netherlands,DHR,EHKD,52.9234008789063,4.78062009811401,3,1,E,Europe/Amsterdam
10,Lelystad Airport,Lelystad,Netherlands,LEY,EHLE,52.4603,5.52722,-13,1,E,Europe/Amsterdam
11,Leeuwarden Air Base,Leeuwarden,Netherlands,LWR,EHLW,53.2285995483398,5.76056003570557,3,1,E,Europe/Amsterdam
12,Rotterdam The Hague Airport,Rotterdam,Netherlands,RTM,EHRD,51.956902,4.43722,-15,1,E,Europe/Amsterdam
13,Soesterberg Air Base,Soesterberg,Netherlands,UTC,EHSB,52.1273002625,5.27618980408,66,1,E,Europe/Amsterdam
14,Twente Airport,Enschede,Netherlands,ENS,EHTW,52.275833,6.889167,114,1,E,Europe/Amsterdam
15,Valkenburg Naval Air Base,Valkenburg,Netherlands,LID,EHVB,52.1660995483,4.41794013977,1,1,E,Europe/Amsterdam
16,Woensdrecht Air Base,Woensdrecht,Netherlands,WOE,EHWO,51.4491,4.34203,63,1,E,Europe/Amsterdam
17,Volkel Air Base,Volkel,Netherlands,,EHVK,51.657222,5.7077778,72,1,E,Europe/Amsterdam
18,Hilversum Airfield,Hilversum,Netherlands,,EHHV,52.191898,5.14694,3,1,E,Europe/Amsterdam
19,Texel Airfield,Texel,Netherlands,,EHTX,53.115299,4.83361,2,1,E,Europe/Amsterdam
20,Hoogeveen Airfield,Hoogeveen,Netherlands,,EHHO,52.730801,6.51611,40,1,E,Europe/Amsterdam
21,Teuge Airport,Deventer,Netherlands,,EHTE,52.2447013855,6.04666996002,17,1,E,Europe/Amsterdam
22,Midden-Zeeland Airport,Middelburg,Netherlands,,EHMZ,51.5121994019,3.73111009598,6,1,E,Europe/Amsterdam
23,Ameland Airfield,Ameland,Netherlands,,EHAL,53.451698,5.67722,11,1,E,Europe/Amsterdam
24,De Peel Air Base,Deurne,Netherlands,,EHDP,51.5172996520996,5.85572004318237,98,1,E,Europe/Amsterdam
25,Seppe Airfield,Bosschenhoofd,Netherlands,,EHSE,51.554699,4.5525,30,1,E,Europe/Amsterdam
26,Terlet Glider Field,Arnhem,Netherlands,,EHTL,52.057201,5.92444,276,1,E,Europe/Amsterdam
27,Andravida Air Base,Andravida,Greece,PYR,LGAD,37.9207,21.292601,55,2,E,Europe/Athens
28,Agrinion Air Base,Agrinion,Greece,AGQ,LGAG,38.602001,21.3512001,154,2,E,Europe/Athens
29,Dimokritos Airport,Alexandroupolis,Greece,AXD,LGAL,40.855899810791,25.9563007354736,24,2,E,Europe/Athens
30,Alexandria Airport,Alexandria,Greece,,LGAX,40.6511001586914,22.4887008666992,27,2,E,Europe/Athens
31,Nea Anchialos Airport,Nea Anghialos,Greece,VOL,LGBL,39.2196006774902,22.7943000793457,83,2,E,Europe/Athens
32,Elefsis Airport,Elefsis,Greece,,LGEL,38.0638008117676,23.5559997558594,143,2,E,Europe/Athens
33,Chios Island National Airport,Chios,Greece,JKH,LGHI,38.3432006835938,26.1406002044678,15,2,E,Europe/Athens
34,Ioannina Airport,Ioannina,Greece,IOA,LGIO,39.6963996887207,20.8225002288818,1558,2,E,Europe/Athens
35,Heraklion International Nikos Kazantzakis Airport,Heraklion,Greece,HER,LGIR,35.3396987915,25.1802997589,115,2,E,Europe/Athens
36,Kastoria National Airport,Kastoria,Greece,KSO,LGKA,40.4463005066,21.2821998596,2167,2,E,Europe/Athens
37,Kithira Airport,Kithira,Greece,KIT,LGKC,36.2742996216,23.0170001984,1045,2,E,Europe/Athens
38,Kefallinia Airport,Keffallinia,Greece,EFL,LGKF,38.1200981140137,20.5004997253418,59,2,E,Europe/Athens
39,Kalamata Airport,Kalamata,Greece,KLX,LGKL,37.0682983398438,22.0254993438721,26,2,E,Europe/Athens
40,Amigdhaleon Airport,Kavala,Greece,,LGKM,40.9728012084961,24.3414001464844,203,2,E,Europe/Athens
41,Kos Airport,Kos,Greece,KGS,LGKO,36.7933006286621,27.0916996002197,412,2,E,Europe/Athens
42,Karpathos Airport,Karpathos,Greece,AOK,LGKP,35.4213981628418,27.1459999084473,66,2,E,Europe/Athens
43,Ioannis Kapodistrias International Airport,Kerkyra/corfu,Greece,CFU,LGKR,39.6018981933594,19.9116992950439,6,2,E,Europe/Athens
44,Kasos Airport,Kasos,Greece,KSJ,LGKS,35.4213981628,26.9099998474,35,2,E,Europe/Athens
45,Alexander the Great International Airport,Kavala,Greece,KVA,LGKV,40.9132995605469,24.6191997528076,18,2,E,Europe/Athens
46,Filippos Airport,Kozani,Greece,KZI,LGKZ,40.2860984802246,21.840799331665,2059,2,E,Europe/Athens
47,Leros Airport,Leros,Greece,LRS,LGLE,37.184898,26.800301,39,2,E,Europe/Athens
48,Limnos Airport,Limnos,Greece,LXS,LGLM,39.917098999,25.2362995148,14,2,E,Europe/Athens
49,Larisa Airport,Larissa,Greece,LRA,LGLR,39.650253,22.4655,241,2,E,Europe/Athens
50,Megara Airport,Megara,Greece,,LGMG,37.9810981750488,23.3654003143311,12,2,E,Europe/Athens
51,Mikonos Airport,Mykonos,Greece,JMK,LGMK,37.4351005554199,25.3481006622314,405,2,E,Europe/Athens
52,Mytilene International Airport,Mytilini,Greece,MJT,LGMT,39.0567016602,26.5983009338,60,2,E,Europe/Athens
53,Aktion National Airport,Preveza,Greece,PVK,LGPZ,38.9254989624023,20.7653007507324,11,2,E,Europe/Athens
54,Maritsa Airport,Rhodos,Greece,,LGRD,36.3830986022949,28.1089000701904,204,2,E,Europe/Athens
55,Diagoras Airport,Rhodos,Greece,RHO,LGRP,36.4053993225098,28.0862007141113,17,2,E,Europe/Athens
56,Araxos Airport,Patras,Greece,GPA,LGRX,38.1511,21.4256,46,2,E,Europe/Athens
57,Chania International Airport,Chania,Greece,CHQ,LGSA,35.5317001342773,24.1497001647949,490,2,E,Europe/Athens
58,Skiathos Island National Airport,Skiathos,Greece,JSI,LGSK,39.1771011352539,23.5037002563477,54,2,E,Europe/Athens
59,Samos Airport,Samos,Greece,SMI,LGSM,37.689998626709,26.9116992950439,19,2,E,Europe/Athens
60,Sparti Airport,Sparti,Greece,SPJ,LGSP,36.9738998413086,22.5263004302979,500,2,E,Europe/Athens
61,Santorini Airport,Thira,Greece,JTR,LGSR,36.3992004394531,25.4792995452881,127,2,E,Europe/Athens
62,Sitia Airport,Sitia,Greece,JSH,LGST,35.2160987854004,26.1012992858887,376,2,E,Europe/Athens
63,Stefanovikion Air Base,Stefanovikion,Greece,,LGSV,39.48,22.7672,146,2,E,Europe/Athens
64,Skiros Airport,Skiros,Greece,SKU,LGSY,38.9676017761,24.4871997833,44,2,E,Europe/Athens
65,Tanagra Air Base,Tanagra,Greece,,LGTG,38.339802,23.565001,485,2,E,Europe/Athens
66,Kasteli Airport,Kasteli,Greece,,LGTL,35.192001,25.327,1180,2,E,Europe/Athens
67,Tripolis Airport,Tripolis,Greece,,LGTP,37.5306015014648,22.403600692749,2113,2,E,Europe/Athens
68,Thessaloniki Macedonia International Airport,Thessaloniki,Greece,SKG,LGTS,40.5196990966797,22.9708995819092,22,2,E,Europe/Athens
69,Tatoi Airport,Dekelia,Greece,,LGTT,38.1088981628418,23.7838001251221,785,2,E,Europe/Athens
70,"Zakynthos International Airport ""Dionysios Solomos""",Zakynthos,Greece,ZTH,LGZA,37.7509,20.8843,15,2,E,Europe/Athens
71,Eleftherios Venizelos International Airport,Athens,Greece,ATH,LGAV,37.9364013672,23.9444999695,308,2,E,Europe/Athens
72,Athen Helenikon Airport,Athens,Greece,HEW,LGAT,37.893299,23.726101,69,2,E,Europe/Athens
73,Astypalaia Airport,Astypalaia,Greece,JTY,LGPL,36.5798988342,26.3757991791,165,2,E,Europe/Athens
74,Ikaria Airport,Ikaria,Greece,JIK,LGIK,37.6827011108,26.3470993042,79,2,E,Europe/Athens
75,Kalymnos Airport,Kalymnos,Greece,JKL,LGKY,36.9632987976,26.9405994415,771,2,E,Europe/Athens
76,Milos Airport,Milos,Greece,MLO,LGML,36.696899,24.4769,10,2,E,Europe/Athens
77,Naxos Airport,Cyclades Islands,Greece,JNX,LGNX,37.0811004639,25.3680992126,10,2,E,Europe/Athens
78,Paros National Airport,Paros,Greece,PAS,LGPA,37.020495,25.113195,131,2,E,Europe/Athens
79,Kastelorizo Airport,Kastelorizo,Greece,KZS,LGKJ,36.1417007446,29.5764007568,489,2,E,Europe/Athens
80,Syros Airport,Syros Island,Greece,JSY,LGSO,37.4227981567,24.9508991241,236,2,E,Europe/Athens
81,Porto Cheli Airport,Porto Heli,Greece,PKH,LGHL,37.297501,23.1478,69,2,E,Europe/Athens
82,Belgrade Nikola Tesla Airport,Belgrade,Serbia,BEG,LYBE,44.8184013367,20.3090991974,335,1,E,Europe/Belgrade
83,Nis Airport,Nis,Serbia,INI,LYNI,43.337299,21.853701,648,1,E,Europe/Belgrade
84,Priština International Airport,Pristina,Serbia,PRN,BKPR,42.5728,21.035801,1789,1,E,Europe/Belgrade
85,Vršac International Airport,Vrsac,Serbia,,LYVR,45.1469,21.3099,276,1,E,Europe/Belgrade
86,Flugplatz Bautzen,Bautzen,Germany,,EDAB,51.193611,14.519722,568,1,E,Europe/Berlin
87,Altenburg-Nobitz Airport,Altenburg,Germany,AOC,EDAC,50.981945,12.506389,640,1,E,Europe/Berlin
88,Dessau Airfield,Dessau,Germany,,EDAD,51.831694,12.190962,187,1,E,Europe/Berlin
89,Eisenhüttenstadt Airfield,Eisenhuettenstadt,Germany,,EDAE,52.195856,14.58753,144,1,E,Europe/Berlin
90,Großenhain Airport,Suhl,Germany,,EDAK,51.3080558776856,13.5555562973022,417,1,E,Europe/Berlin
91,Merseburg Airport,Muehlhausen,Germany,,EDAM,51.3630556,11.9408333,341,1,E,Europe/Berlin
92,Halle-Oppin Airport,Halle,Germany,,EDAQ,51.552223,12.053889,348,1,E,Europe/Berlin
93,Riesa-Göhlis Airport,Riesa,Germany,IES,EDAU,51.2936096191,13.3561105728,322,1,E,Europe/Berlin
94,Rechlin-Lärz Airport,Rechlin-laerz,Germany,REB,EDAX,53.306388855,12.7522220612,220,1,E,Europe/Berlin
95,Strausberg Airport,Strausberg,Germany,,EDAY,52.5805549621582,13.9166669845581,262,1,E,Europe/Berlin
96,Schönhagen Airport,Schoenhagen,Germany,QXH,EDAZ,52.203609,13.156389,152,1,E,Europe/Berlin
97,Barth Airport,Barth,Germany,BBH,EDBH,54.338253,12.710515,23,1,E,Europe/Berlin
98,Jena-Schöngleina Airfield,Jena,Germany,,EDBJ,50.915279,11.714444,1247,1,E,Europe/Berlin
99,Kyritz Airport,Kyritz,Germany,,EDBK,52.918888092041,12.4252777099609,131,1,E,Europe/Berlin
100,"Magdeburg ""City"" Airport",Magdeburg,Germany,ZMG,EDBM,52.073612,11.626389,259,1,E,Europe/Berlin
101,Rothenburg/Görlitz Airport,Rothenburg/ol,Germany,,EDBR,51.3633346557617,14.9499998092651,518,1,E,Europe/Berlin
102,Anklam Airfield,Anklam,Germany,,EDCA,53.832779,13.668611,16,1,E,Europe/Berlin
103,Cottbus-Drewitz Airport,Cottbus,Germany,CBU,EDCD,51.889442,14.531944,272,1,E,Europe/Berlin
104,Kamenz Airport,Kamenz,Germany,,EDCM,51.2969436645508,14.1274995803833,495,1,E,Europe/Berlin
105,Berlin-Schönefeld Airport,Berlin,Germany,SXF,EDDB,52.380001,13.5225,157,1,E,Europe/Berlin
106,Dresden Airport,Dresden,Germany,DRS,EDDC,51.1328010559082,13.7672004699707,755,1,E,Europe/Berlin
107,Erfurt Airport,Erfurt,Germany,ERF,EDDE,50.9798011779785,10.9581003189087,1036,1,E,Europe/Berlin
108,Frankfurt am Main Airport,Frankfurt,Germany,FRA,EDDF,50.033333,8.570556,364,1,E,Europe/Berlin
109,Münster Osnabrück Airport,Munster,Germany,FMO,EDDG,52.134601593,7.68483018875,160,1,E,Europe/Berlin
110,Hamburg Airport,Hamburg,Germany,HAM,EDDH,53.630401611328,9.9882297515869,53,1,E,Europe/Berlin
111,Berlin-Tempelhof International Airport,Berlin,Germany,THF,EDDI,52.4729995727539,13.4039001464844,167,1,E,Europe/Berlin
112,Cologne Bonn Airport,Cologne,Germany,CGN,EDDK,50.8658981323,7.1427397728,302,1,E,Europe/Berlin
113,Düsseldorf Airport,Duesseldorf,Germany,DUS,EDDL,51.289501,6.76678,147,1,E,Europe/Berlin
114,Munich Airport,Munich,Germany,MUC,EDDM,48.353802,11.7861,1487,1,E,Europe/Berlin
115,Nuremberg Airport,Nuernberg,Germany,NUE,EDDN,49.498699,11.078056,1046,1,E,Europe/Berlin
116,Leipzig/Halle Airport,Leipzig,Germany,LEJ,EDDP,51.423889,12.236389,465,1,E,Europe/Berlin
117,Saarbrücken Airport,Saarbruecken,Germany,SCN,EDDR,49.2145996094,7.10950994492,1058,1,E,Europe/Berlin
118,Stuttgart Airport,Stuttgart,Germany,STR,EDDS,48.6898994446,9.22196006775,1276,1,E,Europe/Berlin
119,Berlin-Tegel Airport,Berlin,Germany,TXL,EDDT,52.5597,13.2877,122,1,E,Europe/Berlin
120,Hannover Airport,Hannover,Germany,HAJ,EDDV,52.461101532,9.68507957458,183,1,E,Europe/Berlin
121,Bremen Airport,Bremen,Germany,BRE,EDDW,53.0475006104,8.78666973114,14,1,E,Europe/Berlin
122,Frankfurt-Egelsbach Airport,Egelsbach,Germany,QEF,EDFE,49.959999,8.645833,384,1,E,Europe/Berlin
123,Frankfurt-Hahn Airport,Hahn,Germany,HHN,EDFH,49.9487,7.26389,1649,1,E,Europe/Berlin
124,Mannheim-City Airport,Mannheim,Germany,MHG,EDFM,49.473057,8.514167,308,1,E,Europe/Berlin
125,Allendorf/Eder Airport,Allendorf,Germany,,EDFQ,51.0349998474121,8.680832862854,1158,1,E,Europe/Berlin
